#,id,app,name,applied
1,1,contenttypes,0001_initial,2021-05-26 13:26:49.472835
2,2,auth,0001_initial,2021-05-26 13:26:49.528988
3,3,admin,0001_initial,2021-05-26 13:26:49.544843
4,4,admin,0002_logentry_remove_auto_add,2021-05-26 13:26:49.561003
5,5,admin,0003_logentry_add_action_flag_choices,2021-05-26 13:26:49.576849
6,6,contenttypes,0002_remove_content_type_name,2021-05-26 13:26:49.600857
7,7,auth,0002_alter_permission_name_max_length,2021-05-26 13:26:49.616851
8,8,auth,0003_alter_user_email_max_length,2021-05-26 13:26:49.632862
9,9,auth,0004_alter_user_username_opts,2021-05-26 13:26:49.648854
10,10,auth,0005_alter_user_last_login_null,2021-05-26 13:26:49.664865
11,11,auth,0006_require_contenttypes_0002,2021-05-26 13:26:49.664865
12,12,auth,0007_alter_validators_add_error_messages,2021-05-26 13:26:49.672837
13,13,auth,0008_alter_user_username_max_length,2021-05-26 13:26:49.688858
14,14,auth,0009_alter_user_last_name_max_length,2021-05-26 13:26:49.712862
15,15,auth,0010_alter_group_name_max_length,2021-05-26 13:26:49.728880
16,16,auth,0011_update_proxy_permissions,2021-05-26 13:26:49.736864
17,17,auth,0012_alter_user_first_name_max_length,2021-05-26 13:26:49.753057
18,18,sessions,0001_initial,2021-05-26 13:26:49.760850
19,19,papercity_app,0001_initial,2021-06-01 14:01:19.492270
20,20,papercity_app,0002_auto_20210602_1640,2021-06-02 13:40:52.328667
